Ref,Val,Package,PosX,PosY,Rot,Side
"C1","30p","C_0603_1608Metric",44.231400,62.350000,0.000000,bottom
"C2","30p","C_0603_1608Metric",44.181400,55.820000,180.000000,bottom
"C3","100n","C_0603_1608Metric",33.211400,60.410000,180.000000,bottom
"C4","100n","C_0603_1608Metric",22.261400,55.750000,270.000000,bottom
"C5","4.7u","C_0603_1608Metric",20.229400,55.750000,270.000000,bottom
"C6","1u","C_0603_1608Metric",41.513760,53.294280,90.000000,bottom
"C7","10n","C_0603_1608Metric",39.331400,53.286000,90.000000,bottom
"C8","100n","C_0603_1608Metric",26.841400,46.989400,0.000000,bottom
"C9","100n","C_0603_1608Metric",41.931400,50.620000,0.000000,bottom
"C10","1u","C_0603_1608Metric",18.331400,63.920000,0.000000,bottom
"C11","1u","C_0603_1608Metric",15.748000,58.394600,270.000000,bottom
"C12","100n","C_0603_1608Metric",42.221400,76.180000,270.000000,bottom
"C13","100n","C_0603_1608Metric",72.651400,75.590000,270.000000,bottom
"C14","100n","C_0603_1608Metric",99.501400,75.660000,270.000000,bottom
"C15","100n","C_0603_1608Metric",135.031400,76.470000,270.000000,bottom
"C16","100n","C_0603_1608Metric",168.161400,75.680000,270.000000,bottom
"C17","100n","C_0603_1608Metric",202.671400,76.030000,270.000000,bottom
"C18","100n","C_0603_1608Metric",236.051400,75.920000,270.000000,bottom
"C19","100n","C_0603_1608Metric",269.481400,75.760000,270.000000,bottom
"C20","100n","C_0603_1608Metric",266.741400,18.890000,270.000000,bottom
"C21","100n","C_0603_1608Metric",236.071400,20.070000,270.000000,bottom
"C22","100n","C_0603_1608Metric",193.221400,22.810000,90.000000,bottom
"C23","100n","C_0603_1608Metric",168.971400,20.760000,0.000000,bottom
"C24","100n","C_0603_1608Metric",133.911400,18.440000,270.000000,bottom
"C25","100n","C_0603_1608Metric",100.031400,23.070000,180.000000,bottom
"C26","100n","C_0603_1608Metric",72.021400,18.480000,270.000000,bottom
"C27","100n","C_0603_1608Metric",23.081400,18.950000,270.000000,bottom
