References,Part,Value,Footprint,Quantity Per PCB,Digi-Key_PN,Datasheet,Description,Product,Config,Category,Status,Family,MPN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer,DigiKey Page
C4 C5 C6 C7,C,100n,C_0603,4,445-2500-1-ND,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_hightemp_en.pdf,Unpolarized capacitor,C1608X8R1E104K080AA,,,,,,,,,
C3,C,1u,C_0603,1,445-13234-1-ND,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_lowprofile_en.pdf,Unpolarized capacitor,CGB3B3JB1C105K055AB,,,,,,,,,
C1 C2,C,22p,C_0603,2,478-1167-1-ND,http://datasheets.avx.com/C0GNP0-Dielectric.pdf,Unpolarized capacitor,06035A220JAT2A,,,,,,,,,
C8,C,4.7u,C_0603,1,1276-1900-1-ND,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/12/21/CL10A475KA8NQNC_161221.pdf,Unpolarized capacitor,CL10A475KA8NQNC,,,,,,,,,
D1-D68,D_Small,D_Small,D_SOD-123,68,1N4148WTPMSCT-ND,http://www.mccsemi.com/up_pdf/1N4148W(SOD123).pdf,"Diode, small symbol",1N4148W-TP,,,,,,,,,
DP1,PRTR5V0U2X,PRTR5V0U2X,SOT143B,1,1727-3884-1-ND,https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf,Rail-to-rail ESD protection circuitry,"PRTR5V0U2X,215",,,,,,,,,
F1,Polyfuse_Small,500mA,R_0805,1,F2772CT-ND,http://www.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_0805l_datasheet.pdf.pdf,"resettable fuse, polymeric positive temperature coefficient (PPTC), small symbol",0805L050WR,,,,,,,,,
Q1,FMMT493TA,FMMT493TA,SOT-23-3,1,FMMT493CT-ND,https://www.diodes.com/assets/Datasheets/FMMT493.pdf,TRANS NPN 100V 1A SOT23-3,FMMT493TA,,Discrete Semiconductor Products,Active,Transistors - Bipolar (BJT) - Single,FMMT493TA,https://www.diodes.com/assets/Datasheets/FMMT493.pdf,/product-detail/en/diodes-incorporated/FMMT493TA/FMMT493CT-ND/92663,Diodes Incorporated,
R1-R68,R_Small,560,R_0603,68,MCT0603-560-CFCT-ND,https://www.mouser.ca/datasheet/2/427/mcx0x0xpro-223600.pdf,"Resistor, small symbol",MCT06030C5600FP500,,,,,,,,,
RC1,R_Small,1.5k,R_0603,1,311-1.5KGRCT-ND,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,"Resistor, small symbol",RC0603JR-071K5L,,,,,,,,,
RC2 RC3,R,10k,R_0603,2,P10KGCT-ND,https://industrial.panasonic.com/ww/products/resistors/chip-resistors/general-purpose-chip-resistors/thick-film-chip-resistors/ERJ3GEYJ103V,Resistor,ERJ-3GEYJ103V,,,,,,,,,
RC4 RC5,R,22,R_0603,2,311-22GRCT-ND,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf,Resistor,RC0603JR-0722RL,,,,,,,,,
RC6 RC7,R,5.1k,R_0603,2,RMCF0603JT5K10CT-ND,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Resistor,RMCF0603JT5K10,,,,,,,,,
SW1,SW_Push,SW_Push,SW_SPST_TL3342,1,EG2531CT-ND,https://www.e-switch.com/system/asset/product_line/data_sheet/165/TL3342.pdf,"Push button switch, generic, two pins",TL3342F160QG/TR,,,,,,,,,https://www.digikey.ca/product-detail/en/e-switch/TL3342F160QG-TR/EG2531CT-ND/379004
U1,ATMEGA32U4,ATMEGA32U4,TQFP44,1,ATMEGA32U4-AURCT-ND,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Summary.pdf,Microcontroller,ATMEGA32U4-AU,,,,,,,,,
USB1,12401598E4#2A,12401598E4#2A,12401598E4#2A,1,12401598E4#2ACT-ND,https://media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/12401598E4%232A_Dwg.pdf,USB Type-C connector,12401598E4#2A,,,,,,,,,
Y1,Crystal_GND24,16MHz,Crystal_SMD_2520-4pin_2.5x2.0mm,1,644-1168-1-ND,https://www.digikey.com/product-detail/en/ndk-america-inc/NX2520SA-16MHZ-STD-CSW-4/644-1168-1-ND/3125557,"Four pin crystal (GND on pins 2 and 4), e.g. in SMD package",NX2520SA-16MHZ-STD-CSW-4,,,,,,,,,
